Training 25M...
  5M
  10M
  15M
  20M
  25M
Trained.
Testing 50M with snapshots every 100K...
  10M
N,corr,z,corr_x_sqrtN
100000,-0.0019330593,-0.6113,-0.611287
200000,-0.0020988834,-0.9386,-0.938649
300000,0.0004885677,0.2676,0.267600
400000,-0.0009480940,-0.5996,-0.599627
500000,-0.0010707592,-0.7571,-0.757141
600000,-0.0008854976,-0.6859,-0.685903
700000,-0.0002484005,-0.2078,-0.207827
800000,-0.0004501508,-0.4026,-0.402627
900000,-0.0003667248,-0.3479,-0.347906
1000000,-0.0003286188,-0.3286,-0.328619
1100000,-0.0009583760,-1.0052,-1.005153
1200000,-0.0006844936,-0.7498,-0.749825
1300000,-0.0010256738,-1.1694,-1.169448
1400000,-0.0008216052,-0.9721,-0.972136
1500000,-0.0009792857,-1.1994,-1.199375
1600000,-0.0008476974,-1.0723,-1.072262
1700000,-0.0009456648,-1.2330,-1.232996
1800000,-0.0007447814,-0.9992,-0.999229
1900000,-0.0009113295,-1.2562,-1.256181
2000000,-0.0008831476,-1.2490,-1.248959
2100000,-0.0009706820,-1.4067,-1.406652
2200000,-0.0006824815,-1.0123,-1.012284
2300000,-0.0006716913,-1.0187,-1.018670
2400000,-0.0007508647,-1.1632,-1.163235
2500000,-0.0003998322,-0.6322,-0.632190
2600000,-0.0003846074,-0.6202,-0.620161
2700000,-0.0001741566,-0.2862,-0.286168
2800000,-0.0001006609,-0.1684,-0.168438
2900000,-0.0000335611,-0.0572,-0.057153
3000000,-0.0000353205,-0.0612,-0.061177
3100000,-0.0001311493,-0.2309,-0.230912
3200000,-0.0001090730,-0.1951,-0.195116
3300000,-0.0000821260,-0.1492,-0.149189
3400000,-0.0001634612,-0.3014,-0.301408
3500000,-0.0002038391,-0.3813,-0.381348
3600000,-0.0000316855,-0.0601,-0.060119
3700000,-0.0001463252,-0.2815,-0.281462
3800000,-0.0000700596,-0.1366,-0.136571
3900000,-0.0001044621,-0.2063,-0.206296
4000000,-0.0001624896,-0.3250,-0.324979
4100000,-0.0002398757,-0.4857,-0.485711
4200000,-0.0002532136,-0.5189,-0.518933
4300000,-0.0002524716,-0.5235,-0.523536
4400000,-0.0002087448,-0.4379,-0.437867
4500000,-0.0002472371,-0.5245,-0.524469
4600000,-0.0002408634,-0.5166,-0.516595
4700000,-0.0001628634,-0.3531,-0.353079
4800000,-0.0002658996,-0.5826,-0.582557
4900000,-0.0002891890,-0.6401,-0.640147
5000000,-0.0002981206,-0.6666,-0.666618
5100000,-0.0004066071,-0.9182,-0.918248
5200000,-0.0003080621,-0.7025,-0.702490
5300000,-0.0002278939,-0.5247,-0.524651
5400000,-0.0001906146,-0.4429,-0.442948
5500000,-0.0001904215,-0.4466,-0.446578
5600000,-0.0002433237,-0.5758,-0.575809
5700000,-0.0002258056,-0.5391,-0.539104
5800000,-0.0002425827,-0.5842,-0.584217
5900000,-0.0002650886,-0.6439,-0.643898
6000000,-0.0001819343,-0.4456,-0.445646
6100000,-0.0002610345,-0.6447,-0.644708
6200000,-0.0003004704,-0.7482,-0.748165
6300000,-0.0003751435,-0.9416,-0.941603
6400000,-0.0003653473,-0.9243,-0.924264
6500000,-0.0003384534,-0.8629,-0.862890
6600000,-0.0003914399,-1.0056,-1.005627
6700000,-0.0003762519,-0.9739,-0.973904
